                                     | Core 0    
  Instructions                       |   77549775
  Cycles                             |  192387800
  IPC                                |       0.40
  Time (ns)                          |   96193900
  Idle time (ns)                     |        254
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420845
  num incorrect                      |      65708
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058498
    num misses                       |        118
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        196
    num misses                       |        175
    miss rate                        |     89.29%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608275
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058508
    num cache misses                 |    3887362
    miss rate                        |     11.09%
    mpki                             |      50.13
  Cache L2                           |           
    num cache accesses               |    5501301
    num cache misses                 |     116636
    miss rate                        |      2.12%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129197
  average dram access latency (ns)   |     204.28
  average dram queueing delay        |       0.06
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104396
  num loads from dram cache          |          0
  num loads from remote cache        |          0
