                                     | Core 0    
  Instructions                       |   77549756
  Cycles                             |  118051600
  IPC                                |       0.66
  Time (ns)                          |   59025800
  Idle time (ns)                     |        196
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9421024
  num incorrect                      |      65529
  misprediction rate                 |      0.69%
  mpki                               |       0.84
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058496
    num misses                       |        102
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        180
    num misses                       |        175
    miss rate                        |     97.22%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608277
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058506
    num cache misses                 |    3876449
    miss rate                        |     11.06%
    mpki                             |      49.99
  Cache L2                           |           
    num cache accesses               |    5489739
    num cache misses                 |     116483
    miss rate                        |      2.12%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129050
  average dram access latency (ns)   |     204.49
  average dram queueing delay        |       0.27
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104385
  num loads from dram cache          |          0
  num loads from remote cache        |          0
