                                     | Core 0    
  Instructions                       |   77549775
  Cycles                             |  188377200
  IPC                                |       0.41
  Time (ns)                          |   94188600
  Idle time (ns)                     |          3
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420862
  num incorrect                      |      65691
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058498
    num misses                       |        172
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        250
    num misses                       |        174
    miss rate                        |     69.60%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608277
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058508
    num cache misses                 |    3859296
    miss rate                        |     11.01%
    mpki                             |      49.77
  Cache L2                           |           
    num cache accesses               |    5473357
    num cache misses                 |     116521
    miss rate                        |      2.13%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129058
  average dram access latency (ns)   |     204.28
  average dram queueing delay        |       0.06
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104288
  num loads from dram cache          |          0
  num loads from remote cache        |          0
