                                     | Core 0    
  Instructions                       |   77549775
  Cycles                             |  140659200
  IPC                                |       0.55
  Time (ns)                          |   70329600
  Idle time (ns)                     |        108
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420856
  num incorrect                      |      65697
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068731
    num misses                       |        105
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        183
    num misses                       |        175
    miss rate                        |     95.63%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608285
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068741
    num cache misses                 |    3918726
    miss rate                        |     11.17%
    mpki                             |      50.53
  Cache L2                           |           
    num cache accesses               |    5532684
    num cache misses                 |     116640
    miss rate                        |      2.11%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129281
  average dram access latency (ns)   |     204.31
  average dram queueing delay        |       0.10
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104298
  num loads from dram cache          |          0
  num loads from remote cache        |          0
