                                     | Core 0    
  Instructions                       |   77549775
  Cycles                             |  187485400
  IPC                                |       0.41
  Time (ns)                          |   93742700
  Idle time (ns)                     |        138
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420776
  num incorrect                      |      65777
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058498
    num misses                       |        108
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        186
    num misses                       |        174
    miss rate                        |     93.55%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608276
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058508
    num cache misses                 |    3986176
    miss rate                        |     11.37%
    mpki                             |      51.40
  Cache L2                           |           
    num cache accesses               |    5600287
    num cache misses                 |     116530
    miss rate                        |      2.08%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129095
  average dram access latency (ns)   |     204.28
  average dram queueing delay        |       0.06
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104387
  num loads from dram cache          |          0
  num loads from remote cache        |          0
