                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |   96918200
  IPC                                |       0.80
  Time (ns)                          |   48459100
  Idle time (ns)                     |        210
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420863
  num incorrect                      |      65690
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068729
    num misses                       |        119
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        197
    num misses                       |        175
    miss rate                        |     88.83%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608277
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068739
    num cache misses                 |    4027217
    miss rate                        |     11.48%
    mpki                             |      51.93
  Cache L2                           |           
    num cache accesses               |    5640832
    num cache misses                 |     116663
    miss rate                        |      2.07%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129228
  average dram access latency (ns)   |     204.43
  average dram queueing delay        |       0.21
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |     104329
  num loads from dram cache          |          0
  num loads from remote cache        |          0
