                                     | Core 0    
  Instructions                       |   77549775
  Cycles                             |  192313600
  IPC                                |       0.40
  Time (ns)                          |   96156800
  Idle time (ns)                     |         90
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420835
  num incorrect                      |      65718
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058498
    num misses                       |        151
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        229
    num misses                       |        175
    miss rate                        |     76.42%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608275
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058508
    num cache misses                 |    3988887
    miss rate                        |     11.38%
    mpki                             |      51.44
  Cache L2                           |           
    num cache accesses               |    5602869
    num cache misses                 |     116591
    miss rate                        |      2.08%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129133
  average dram access latency (ns)   |     204.28
  average dram queueing delay        |       0.06
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104414
  num loads from dram cache          |          0
  num loads from remote cache        |          0
