                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  182059200
  IPC                                |       0.43
  Time (ns)                          |   91029600
  Idle time (ns)                     |        156
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420656
  num incorrect                      |      65897
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068722
    num misses                       |        119
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        197
    num misses                       |        176
    miss rate                        |     89.34%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608441
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068732
    num cache misses                 |    3866345
    miss rate                        |     11.03%
    mpki                             |      49.86
  Cache L2                           |           
    num cache accesses               |    5480588
    num cache misses                 |     116760
    miss rate                        |      2.13%
    mpki                             |       1.51
DRAM summary                         |           
  num dram accesses                  |     129405
  average dram access latency (ns)   |     204.33
  average dram queueing delay        |       0.11
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104674
  num loads from dram cache          |          0
  num loads from remote cache        |          0
