                                     | Core 0    
  Instructions                       |   77549761
  Cycles                             |  274247800
  IPC                                |       0.28
  Time (ns)                          |  137123900
  Idle time (ns)                     |        270
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420872
  num incorrect                      |      65681
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068724
    num misses                       |        103
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        181
    num misses                       |        176
    miss rate                        |     97.24%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608494
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068734
    num cache misses                 |    3914225
    miss rate                        |     11.16%
    mpki                             |      50.47
  Cache L2                           |           
    num cache accesses               |    5528555
    num cache misses                 |     116830
    miss rate                        |      2.11%
    mpki                             |       1.51
DRAM summary                         |           
  num dram accesses                  |     129463
  average dram access latency (ns)   |     204.29
  average dram queueing delay        |       0.07
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104267
  num loads from dram cache          |          0
  num loads from remote cache        |          0
