                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  118967600
  IPC                                |       0.65
  Time (ns)                          |   59483800
  Idle time (ns)                     |        232
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420847
  num incorrect                      |      65706
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068729
    num misses                       |        113
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        191
    num misses                       |        175
    miss rate                        |     91.62%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608276
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068739
    num cache misses                 |    4072252
    miss rate                        |     11.61%
    mpki                             |      52.51
  Cache L2                           |           
    num cache accesses               |    5685649
    num cache misses                 |     116667
    miss rate                        |      2.05%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129238
  average dram access latency (ns)   |     204.45
  average dram queueing delay        |       0.23
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104322
  num loads from dram cache          |          0
  num loads from remote cache        |          0
