                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  120456000
  IPC                                |       0.64
  Time (ns)                          |   60228000
  Idle time (ns)                     |        224
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420856
  num incorrect                      |      65697
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058496
    num misses                       |        108
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        186
    num misses                       |        175
    miss rate                        |     94.09%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608278
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058506
    num cache misses                 |    3931371
    miss rate                        |     11.21%
    mpki                             |      50.69
  Cache L2                           |           
    num cache accesses               |    5545250
    num cache misses                 |     116415
    miss rate                        |      2.10%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     128955
  average dram access latency (ns)   |     204.44
  average dram queueing delay        |       0.22
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104394
  num loads from dram cache          |          0
  num loads from remote cache        |          0
