                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  185812400
  IPC                                |       0.42
  Time (ns)                          |   92906200
  Idle time (ns)                     |        182
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420874
  num incorrect                      |      65679
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058489
    num misses                       |      14440
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |      14518
    num misses                       |        175
    miss rate                        |      1.21%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608278
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058499
    num cache misses                 |    4054151
    miss rate                        |     11.56%
    mpki                             |      52.28
  Cache L2                           |           
    num cache accesses               |    5668175
    num cache misses                 |     116474
    miss rate                        |      2.05%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129050
  average dram access latency (ns)   |     204.33
  average dram queueing delay        |       0.11
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104578
  num loads from dram cache          |          0
  num loads from remote cache        |          0
