                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  125265000
  IPC                                |       0.62
  Time (ns)                          |   62632500
  Idle time (ns)                     |        128
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9421132
  num incorrect                      |      65421
  misprediction rate                 |      0.69%
  mpki                               |       0.84
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058496
    num misses                       |        123
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        201
    num misses                       |        175
    miss rate                        |     87.06%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608276
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058506
    num cache misses                 |    3851740
    miss rate                        |     10.99%
    mpki                             |      49.67
  Cache L2                           |           
    num cache accesses               |    5465373
    num cache misses                 |     116609
    miss rate                        |      2.13%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129136
  average dram access latency (ns)   |     204.42
  average dram queueing delay        |       0.20
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104583
  num loads from dram cache          |          0
  num loads from remote cache        |          0
