                                     | Core 0    
  Instructions                       |   77549756
  Cycles                             |   92625600
  IPC                                |       0.84
  Time (ns)                          |   46312800
  Idle time (ns)                     |        290
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420820
  num incorrect                      |      65733
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058496
    num misses                       |        107
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        185
    num misses                       |        176
    miss rate                        |     95.14%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608280
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058506
    num cache misses                 |    4055410
    miss rate                        |     11.57%
    mpki                             |      52.29
  Cache L2                           |           
    num cache accesses               |    5668327
    num cache misses                 |     116456
    miss rate                        |      2.05%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     128994
  average dram access latency (ns)   |     204.48
  average dram queueing delay        |       0.26
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |     104344
  num loads from dram cache          |          0
  num loads from remote cache        |          0
