                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  182205400
  IPC                                |       0.43
  Time (ns)                          |   91102700
  Idle time (ns)                     |        216
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420656
  num incorrect                      |      65897
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058489
    num misses                       |        129
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        207
    num misses                       |        176
    miss rate                        |     85.02%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608278
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058499
    num cache misses                 |    3978032
    miss rate                        |     11.35%
    mpki                             |      51.30
  Cache L2                           |           
    num cache accesses               |    5592154
    num cache misses                 |     116503
    miss rate                        |      2.08%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129060
  average dram access latency (ns)   |     204.33
  average dram queueing delay        |       0.11
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104700
  num loads from dram cache          |          0
  num loads from remote cache        |          0
