                                     | Core 0    
  Instructions                       |   77549756
  Cycles                             |  184862400
  IPC                                |       0.42
  Time (ns)                          |   92431200
  Idle time (ns)                     |        301
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420843
  num incorrect                      |      65710
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058488
    num misses                       |        103
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        181
    num misses                       |        176
    miss rate                        |     97.24%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608278
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058498
    num cache misses                 |    3867172
    miss rate                        |     11.03%
    mpki                             |      49.87
  Cache L2                           |           
    num cache accesses               |    5481147
    num cache misses                 |     116426
    miss rate                        |      2.12%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     128968
  average dram access latency (ns)   |     204.37
  average dram queueing delay        |       0.16
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104552
  num loads from dram cache          |          0
  num loads from remote cache        |          0
