                                     | Core 0    
  Instructions                       |   77549771
  Cycles                             |  121399800
  IPC                                |       0.64
  Time (ns)                          |   60699900
  Idle time (ns)                     |        166
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420840
  num incorrect                      |      65713
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058496
    num misses                       |        107
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        185
    num misses                       |        175
    miss rate                        |     94.59%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608277
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058506
    num cache misses                 |    4036423
    miss rate                        |     11.51%
    mpki                             |      52.05
  Cache L2                           |           
    num cache accesses               |    5650285
    num cache misses                 |     116473
    miss rate                        |      2.06%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129049
  average dram access latency (ns)   |     204.40
  average dram queueing delay        |       0.18
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104490
  num loads from dram cache          |          0
  num loads from remote cache        |          0
