                                     | Core 0    
  Instructions                       |   77549756
  Cycles                             |  132368800
  IPC                                |       0.59
  Time (ns)                          |   66184400
  Idle time (ns)                     |        136
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420847
  num incorrect                      |      65706
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068729
    num misses                       |        115
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        193
    num misses                       |        175
    miss rate                        |     90.67%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608276
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068739
    num cache misses                 |    3981883
    miss rate                        |     11.35%
    mpki                             |      51.35
  Cache L2                           |           
    num cache accesses               |    5595802
    num cache misses                 |     116567
    miss rate                        |      2.08%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129154
  average dram access latency (ns)   |     204.43
  average dram queueing delay        |       0.21
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104292
  num loads from dram cache          |          0
  num loads from remote cache        |          0
