                                     | Core 0    
  Instructions                       |   77549769
  Cycles                             |  274025400
  IPC                                |       0.28
  Time (ns)                          |  137012700
  Idle time (ns)                     |        257
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420827
  num incorrect                      |      65726
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068729
    num misses                       |        112
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        190
    num misses                       |        175
    miss rate                        |     92.11%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608275
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068739
    num cache misses                 |    3846264
    miss rate                        |     10.97%
    mpki                             |      49.60
  Cache L2                           |           
    num cache accesses               |    5460338
    num cache misses                 |     116614
    miss rate                        |      2.14%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129194
  average dram access latency (ns)   |     204.29
  average dram queueing delay        |       0.07
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104330
  num loads from dram cache          |          0
  num loads from remote cache        |          0
