                                     | Core 0    
  Instructions                       |   77549761
  Cycles                             |  274001800
  IPC                                |       0.28
  Time (ns)                          |  137000900
  Idle time (ns)                     |        156
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420846
  num incorrect                      |      65707
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068724
    num misses                       |        102
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        180
    num misses                       |        175
    miss rate                        |     97.22%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608276
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068734
    num cache misses                 |    3854754
    miss rate                        |     10.99%
    mpki                             |      49.71
  Cache L2                           |           
    num cache accesses               |    5468815
    num cache misses                 |     116492
    miss rate                        |      2.13%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129053
  average dram access latency (ns)   |     204.29
  average dram queueing delay        |       0.08
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104174
  num loads from dram cache          |          0
  num loads from remote cache        |          0
