                                     | Core 0    
  Instructions                       |   77549756
  Cycles                             |   92761000
  IPC                                |       0.84
  Time (ns)                          |   46380500
  Idle time (ns)                     |        236
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420884
  num incorrect                      |      65669
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058496
    num misses                       |        120
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        198
    num misses                       |        176
    miss rate                        |     88.89%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608277
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058506
    num cache misses                 |    3914211
    miss rate                        |     11.16%
    mpki                             |      50.47
  Cache L2                           |           
    num cache accesses               |    5527233
    num cache misses                 |     116484
    miss rate                        |      2.11%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129036
  average dram access latency (ns)   |     204.49
  average dram queueing delay        |       0.27
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |     104401
  num loads from dram cache          |          0
  num loads from remote cache        |          0
